Zimmer,Quadratmeter,Preis,Adresse,PLZ,Ort
2.0,51,3300,Greifenseestr. 57,8050,Zürich
3.5,60,2120,Meierwiesenstr. 39,8107,Buchs ZH
3.5,57,3410,In Lampitzäckern 43,8305,Dietlikon
3.5,120,2740,Bächelacherstrasse 1,8132,Hinteregg
2.5,45,3080,Eichhöhe 1,8634,Hombrechtikon
2.0,52,2630,Burstwiesenstr. 12,8606,Greifensee
1.0,45,4430,Baslerstrasse 77,8048,Zürich
2.5,54,2590,Am Dorfbach 23,8308,Illnau
3.5,40,2880,Zürichstrasse 81,8910,Affoltern a. Albis
3.5,29,2130,Zürichstrasse 81,8910,Affoltern a. Albis
3.5,230,6860,Loogartenstrasse 22,8048,Zürich
3.5,50,2920,Seidenstr. 30,8600,Dübendorf
3.5,41,2920,Brunaustrasse 160,8951,Fahrweid
3.5,,2670,Schulstrasse 12,8330,Pfäffikon ZH
2.5,50,2810,Im Langacker 19,8304,Wallisellen
2.0,57,5460,Forchstrasse 24,8008,Zürich
3.0,180,8250,Forchstrasse 22,8008,Zürich
2.5,38,2700,Grünaustrasse 10,8953,Dietikon
2.5,63,2680,In der Fadmatt 122,8902,Urdorf
3.5,52,2370,Römerstr. 128,8404,Winterthur
3.5,130,4390,Giessenplatz 6,8600,Dübendorf
3.5,130,5130,Trichtenhausenstrasse 86,8053,Zürich
3.5,160,6360,Schaffhauserstrasse 91,8152,Opfikon
3.5,160,6360,Schaffhauserstrasse 91,8152,Opfikon
3.5,140,2730,Müllerwis 19,8606,Greifensee
2.5,57,3310,Farmanstr. 61,8152,Glattpark (Opfikon)
3.5,200,4160,Nidermattweg 7,8192,Glattfelden
3.5,130,3960,Alte Landstrasse 14,8800,Thalwil
2.5,120,3820,Ländischstr. 107,8706,Feldmeilen
3.5,40,3200,Hinterbergstrasse 57,8044,Zürich
2.5,49,2520,Chilegass 2,8484,Weisslingen
3.5,34,2220,In der Sagi 5,8172,Niederglatt ZH
2.5,120,3300,Schaffhauserstr. 55,8180,Bülach
2.5,50,2390,Lindenhof 7,8604,Volketswil
3.5,150,5510,Käferholzstrasse 58,8057,Zürich
1.0,33,1650,Schaffhauserstr. 411,8050,Zürich
2.0,63,5160,Breitingerstrasse 27,8002,Zürich
2.5,220,6260,Albulastrasse 60,8048,Zürich
3.5,52,3580,Alte Landstrasse 137,8804,Au ZH
3.5,59,2610,Leimgrubstr. 3,8340,Hinwil
2.0,,2780,Sankt Gallerstrasse 45,8352,Elsau
3.5,140,4790,Forchstrasse 261,8032,Zürich
2.0,150,5840,Forsterstrasse 67,8044,Zürich
2.0,42,2170,Erlenweg 14,8634,Hombrechtikon
3.5,36,5170,Dienerstrasse 8,8004,Zürich
3.5,58,4160,Grabenwies 2,8057,Zürich
2.5,56,3760,Brunaustrasse 156,8951,Fahrweid
2.0,52,2720,Müllerwis 10,8606,Greifensee
3.5,230,3210,Spinnereistrasse 9,8192,Glattfelden
3.5,150,6030,Forsterstrasse 67,8044,Zürich
1.0,33,3190,Steinstrasse 35,8003,Zurich
3.5,52,2560,Bäretswilerstrasse 22,8494,Bauma
3.5,150,5840,Forsterstrasse 67,8044,Zürich
2.0,,1830,Kempttalstrasse 64,8320,Fehraltorf
2.5,15,2460,Bernerstrasse S 169,8048,Zürich
3.5,50,2230,Brandstrasse 41,8952,Schlieren
3.5,52,2500,Moosackerstr. 26,8405,Winterthur
3.5,,2230,Stodolastrasse 2,8053,Zürich
2.5,27,1550,In der Fadmatt 26,8902,Urdorf
2.5,59,2910,Im Glockenacker 26,8053,Zürich
2.5,59,2570,Püntstrasse 30,8165,Oberweningen
2.5,51,1620,Schlossbergstr. 5a,8820,Wädenswil
2.5,50,3180,Etzelstrasse 7/9/11,8038,Zürich
2.5,120,5110,Winkelriedstrasse 27,8006,Zürich
2.5,50,2540,Langackerstr. 30,8952,Schlieren
2.5,47,3120,Panoramastrasse 3,8903,Birmensdorf
3.5,140,3180,Steinerstrasse 38,8475,Ossingen
2.5,49,2410,Chüeferistrasse 8,8320,Fehraltorf
2.0,60,1970,Bachtobelstr. 15,8106,Adlikon b.Regensdorf
3.5,62,2950,Preyenstr. 35,8623,Wetzikon ZH
2.5,47,2370,Archstrasse 17,8610,Uster
3.5,160,5460,Haldenstrasse 11,8302,Kloten
3.5,190,4120,Haldenstrasse 47,8422,Pfungen
3.0,170,4370,Mühlebergstrasse 16,8910,Affoltern am Albis
2.5,19,2250,Hohlstrasse 100,8004,Zürich
2.5,50,2880,Heerenschürlistrasse 5,8051,Zürich
3.5,170,5290,Ankenbüel 3,8126,Zumikon
2.5,160,4080,Gerlisbrunnenstrasse 1,8121,Benglen
3.5,49,2530,Eichgutstr. 2,8400,Winterthur
